age,ed,employ,address,income,debtinc,creddebt,othdebt,default
23,1,5,2,17,7.9,0.302,1.041,0
29,2,10,8,44,18.1,3.703,4.261,0
40,4,5,6,75,1.9,0.885,0.54,0
22,2,0,3,20,5.6,0.207,0.913,0
23,1,7,3,22,14.4,0.849,2.319,0
46,3,9,10,60,15.3,1.607,7.573,0
55,1,3,11,40,8,0.563,2.637,1
38,2,8,16,38,0.6,0.029,0.199,0
35,2,5,1,33,2.8,0.103,0.821,0
30,1,11,9,27,0.9,0.074,0.169,0
24,1,7,0,18,6.5,0.526,0.643,0
26,2,4,3,28,9.5,0.226,2.434,0
32,2,2,11,15,9.1,0.119,1.246,1
37,2,11,4,75,3.5,0.633,1.992,0
39,1,6,19,42,19.9,2.541,5.817,1
30,2,4,4,21,18.3,0.492,3.351,0
30,1,10,11,39,9.5,2.056,1.649,0
32,2,7,10,32,4.3,0.433,0.943,0
54,3,21,20,118,14.4,9.6,7.392,0
27,3,3,4,35,13.3,1.601,3.054,0
31,1,12,4,31,23.7,2.057,5.29,0
39,1,15,16,39,1.8,0.14,0.562,0
31,1,5,3,25,14.1,1.177,2.348,0
35,1,15,11,40,18.5,1.214,6.186,0
35,2,10,16,98,13.3,4.875,8.159,0
46,2,22,17,144,11.1,3.325,12.659,0
33,1,13,3,52,21.3,2.714,8.362,1
35,2,13,3,105,1.9,1.418,0.577,0
35,2,1,1,21,7.9,0.37,1.289,0
38,1,5,13,21,9,0.45,1.44,0
41,1,19,1,96,7.8,2.254,5.234,0
38,1,18,19,44,4.5,0.606,1.374,0
34,3,2,14,39,13.2,1.143,4.005,0
51,3,16,25,82,4.4,2.605,1.003,0
34,2,10,2,33,9.5,0.574,2.561,0
47,1,15,1,30,24.5,2.212,5.138,0
34,2,8,6,78,5.4,2.157,2.055,0
27,2,8,7,18,11.9,0.401,1.741,0
52,1,9,11,24,19.2,0.802,3.806,1
39,1,9,6,35,5,0.233,1.517,0
33,1,7,0,22,6.4,0.631,0.777,0
34,1,0,1,21,7.2,0.187,1.325,0
31,3,9,7,59,14.6,3.11,5.504,1
28,1,2,9,16,15.2,0.871,1.561,0
39,1,19,16,45,3.7,0.916,0.749,0
51,2,22,23,120,7.6,4.14,4.98,0
22,1,4,1,16,1.2,0.084,0.108,0
27,3,6,4,26,10.4,0.93,1.774,0
32,1,16,10,38,21,0.694,7.286,0
28,2,6,7,38,7.2,0.774,1.962,0
27,2,1,0,20,10.3,0.377,1.683,1
26,2,2,6,24,13.6,1.577,1.687,1
32,1,14,0,36,2.4,0.273,0.591,0
30,1,0,11,17,3.7,0.447,0.182,1
39,1,13,1,38,8.9,1.897,1.485,0
31,1,11,6,28,4.8,0.345,0.999,1
34,1,15,2,39,24.7,4.373,5.26,1
31,1,8,3,41,12.6,0.134,5.032,0
29,2,1,7,25,10.4,0.569,2.031,0
29,1,9,0,25,13.9,1.07,2.405,0
35,2,9,16,30,7.6,0.65,1.63,0
29,1,11,7,32,6,0.927,0.993,0
38,2,2,16,22,22.7,1.209,3.785,1
35,1,16,15,36,3.4,0.179,1.045,0
29,1,11,5,36,6.1,0.709,1.487,0
23,2,3,4,34,4.4,0.262,1.234,0
33,4,9,8,32,5.5,0.496,1.264,0
51,2,19,25,159,2.8,1.068,3.384,0
24,1,4,2,21,2.6,0.099,0.447,0
31,1,10,12,49,9.8,3.237,1.565,1
45,1,10,14,52,5.4,0.932,1.876,0
29,1,3,1,17,9,0.47,1.06,0
34,1,0,10,20,17.1,2.049,1.371,0
25,2,4,5,27,5,0.549,0.801,1
37,1,20,2,56,1.9,0.543,0.521,0
47,1,29,18,129,25.3,20.561,12.076,1
43,2,6,24,54,9.6,0.622,4.562,0
47,1,22,19,81,5.5,1.506,2.949,0
24,1,6,2,21,5.2,0.108,0.984,0
27,3,5,1,75,6.3,2.207,2.518,0
25,1,9,4,18,1.2,0.066,0.15,0
36,3,11,12,44,14.7,0.446,6.022,0
39,1,16,20,57,19.4,1.559,9.499,0
26,1,10,1,25,7.1,1.306,0.469,0
41,1,4,19,25,10.1,1.061,1.465,0
39,1,19,15,60,27.1,9.593,6.667,1
37,1,18,8,54,12.1,4.593,1.941,0
29,1,2,0,14,14.4,0.587,1.429,1
42,1,6,9,31,11.6,1.025,2.571,0
31,4,1,6,29,11.1,1.065,2.154,0
36,1,4,15,17,17.3,0.521,2.42,0
39,1,16,4,52,20,4.16,6.24,0
23,4,0,2,23,6.7,0.468,1.073,0
39,1,4,15,33,7,0.397,1.913,0
27,3,4,1,40,3.1,0.284,0.956,1
24,1,8,4,24,5,0.382,0.818,0
27,3,3,4,45,11,0.292,4.658,1
41,1,16,22,49,1.6,0.431,0.353,0
38,1,0,8,23,8.1,0.898,0.965,1
40,2,5,12,35,16.4,1.584,4.156,1
54,1,25,12,120,26.5,14.596,17.204,1
40,1,12,6,89,17.4,2.772,12.714,0
40,1,2,4,32,3.7,0.854,0.33,0
29,1,1,8,31,8,0.156,2.324,0
30,1,8,6,23,12,0.762,1.998,0
29,1,1,1,18,1.1,0.03,0.168,0
29,3,3,3,50,2.4,0.259,0.941,1
28,4,2,4,41,2.5,0.459,0.566,1
28,4,0,5,38,10.4,0.636,3.316,0
39,2,16,9,89,14.3,5.002,7.725,0
32,1,11,2,53,3.3,0.089,1.66,0
36,2,7,16,43,15.4,2.649,3.973,0
39,1,20,12,39,8.2,0.774,2.424,0
28,3,6,8,47,19.8,5.574,3.732,1
28,1,4,2,28,14.2,0.437,3.539,1
46,1,6,19,31,12.2,1.986,1.796,0
30,2,4,8,15,6.5,0.35,0.625,0
39,2,15,19,32,4.9,0.422,1.146,0
40,3,5,3,220,16,8.166,27.034,1
44,2,18,4,74,13.4,4.522,5.394,0
30,1,0,8,19,16.6,0.624,2.53,1
24,2,3,0,19,4.3,0.359,0.458,0
32,1,10,13,32,11.3,1.168,2.448,0
29,2,3,8,15,2.6,0.147,0.243,0
40,2,2,1,36,3.8,0.278,1.09,0
41,2,8,21,43,0.7,0.086,0.215,0
22,1,1,3,17,18.6,0.806,2.356,0
38,1,10,8,34,1.2,0.036,0.372,0
37,2,6,13,62,8.5,1.186,4.084,0
41,3,18,6,71,15.7,6.566,4.581,1
41,3,7,6,56,14.5,0.374,7.746,1
39,1,2,15,22,23.1,1.916,3.166,1
24,2,0,2,15,16.1,0.321,2.094,1
32,3,9,10,51,23,2.686,9.044,0
21,3,0,1,26,7.7,1.53,0.472,0
29,1,13,7,27,2.3,0.069,0.552,0
35,2,14,3,82,0.8,0.468,0.188,0
29,1,6,7,21,18.1,1.11,2.691,0
41,2,2,22,30,6.7,0.113,1.897,0
37,1,0,18,18,12.9,1.584,0.738,1
32,2,3,13,47,1.9,0.429,0.464,0
36,5,5,12,20,8.1,0.729,0.891,0
39,2,18,9,44,2.1,0.368,0.556,0
36,1,18,9,67,11.2,5.245,2.259,0
46,3,22,4,99,2.3,0.827,1.45,0
34,1,13,11,51,9.6,1.875,3.021,0
27,1,7,4,26,9.1,0.641,1.725,0
43,1,8,11,45,3.3,0.677,0.808,0
33,1,14,8,72,41.3,15.017,14.719,1
39,2,20,17,101,1.4,0.341,1.073,0
29,1,1,4,17,2.5,0.132,0.293,0
34,4,7,15,40,6.4,0.95,1.61,0
26,1,1,0,21,4.9,0.608,0.421,0
31,1,15,2,60,4.8,0.804,2.076,0
26,1,10,6,24,2.7,0.311,0.337,0
28,1,12,7,45,7.7,1.854,1.611,0
48,1,13,20,50,30.8,6.114,9.286,1
39,2,2,12,46,16,4.004,3.356,1
37,1,3,3,25,3.7,0.276,0.649,0
52,5,9,0,70,9.4,1.329,5.251,1
48,1,3,11,27,21.3,1.403,4.348,0
26,1,7,3,22,5.1,0.209,0.913,0
46,5,15,0,126,3.1,0.477,3.429,0
31,1,7,10,23,4.9,0.225,0.902,0
34,1,13,8,56,6.1,0.864,2.552,0
40,1,22,4,95,3.6,0.633,2.787,0
24,3,2,5,16,6.4,0.27,0.754,1
33,1,2,14,44,3.1,0.525,0.839,0
53,4,5,29,78,17.3,6.936,6.558,1
47,3,9,1,52,20.1,2.54,7.912,1
35,1,5,5,32,13,0.175,3.985,0
34,1,14,8,28,17,1.138,3.622,0
49,1,11,5,39,10.1,2.458,1.481,0
26,2,0,7,28,9.3,1.271,1.333,0
23,1,2,2,16,9.6,0.805,0.731,1
23,2,0,4,21,8.7,0.455,1.372,0
38,2,4,13,56,1.6,0.442,0.454,0
28,2,5,2,37,8.3,1.124,1.947,0
30,3,0,8,65,29.7,3.9,15.405,1
34,1,18,10,34,15.4,2.1,3.136,0
50,2,16,14,71,11.1,1.663,6.218,0
29,1,12,2,40,6.7,1.632,1.048,0
42,3,0,9,64,6.6,0.279,3.945,0
31,1,13,12,27,5,0.238,1.112,0
39,1,10,4,31,4.8,0.185,1.303,0
45,2,21,26,132,3,2.558,1.402,0
45,1,22,24,91,11.7,1.256,9.391,0
36,1,14,17,53,5.7,1.888,1.133,0
25,4,0,6,24,12.1,1.597,1.307,1
29,2,1,7,29,21.2,2.33,3.818,1
30,2,8,4,56,6.4,0.333,3.251,0
31,1,1,1,24,4.5,0.217,0.863,0
43,1,4,2,29,4.6,0.053,1.281,0
32,2,11,4,57,23.8,5.44,8.126,1
47,1,19,7,50,30.1,3.176,11.874,0
46,1,1,15,21,14.8,1.377,1.731,1
43,2,16,10,83,4.1,0.259,3.144,0
48,1,3,7,24,7,0.764,0.916,0
30,3,8,7,61,2.8,0.55,1.158,0
23,4,0,4,32,18.4,0.818,5.07,1
36,4,8,0,32,1.6,0.025,0.487,0
20,3,0,1,17,2.3,0.044,0.347,0
43,1,16,7,89,0.4,0.159,0.197,0
23,1,2,1,25,4.5,0.124,1.001,1
41,1,21,2,76,20.5,6.949,8.631,0
34,1,12,5,68,25.1,7.817,9.251,1
50,1,11,5,36,4.8,0.835,0.893,0
40,1,9,4,64,6.6,0.79,3.434,0
29,2,0,8,22,12.9,1.039,1.799,1
39,2,9,16,56,18.7,4.765,5.707,0
24,2,1,2,42,5.7,0.838,1.556,0
27,1,0,5,16,1.1,0.13,0.046,0
40,3,18,14,157,6.6,3.326,7.036,0
32,2,8,2,45,3.7,0.982,0.683,0
39,2,16,12,53,3.7,0.694,1.267,0
40,1,22,1,100,14.6,5.402,9.198,0
32,1,10,11,42,9.1,1.54,2.282,0
39,1,23,1,75,18.9,3.133,11.042,0
24,1,3,3,21,28.9,2.682,3.387,1
43,4,18,14,446,6.5,16.031,12.959,1
56,1,11,20,59,15,4.673,4.177,0
32,3,5,9,23,4.5,0.326,0.709,0
42,1,7,12,25,10.2,1.629,0.921,0
46,3,3,13,43,13.2,3.042,2.634,1
31,1,2,2,22,16.4,1.739,1.869,1
43,1,25,16,242,2.6,1.636,4.656,0
28,2,6,9,22,11.5,0.65,1.88,0
39,3,11,17,39,12.9,2.561,2.47,0
39,1,0,8,39,7.9,1.066,2.015,0
37,4,1,14,33,16.1,2.694,2.619,1
30,1,0,11,17,12,0.304,1.736,0
37,5,9,16,177,5.9,0.888,9.555,0
22,1,4,3,14,17.5,0.225,2.225,0
50,1,1,26,26,14.3,1.852,1.866,0
30,1,10,2,19,4.4,0.336,0.5,0
39,1,8,0,21,4,0.276,0.564,0
21,2,0,2,21,12.5,0.488,2.137,1
31,3,9,2,28,2.6,0.122,0.606,0
31,2,9,1,30,5.8,0.602,1.138,0
48,1,0,23,30,22.3,2.663,4.027,0
28,1,4,1,16,23.8,1.085,2.723,0
47,3,16,26,221,17.6,15.792,23.104,1
27,2,6,1,34,4.4,0.238,1.258,0
29,2,6,10,65,18.4,1.985,9.975,0
21,2,2,0,20,4.5,0.291,0.609,1
29,1,7,5,20,19.8,1.006,2.954,1
24,4,0,3,29,6.6,0.59,1.324,1
44,1,12,3,31,9.7,0.358,2.649,0
22,1,1,0,18,4.4,0.27,0.522,0
38,2,13,0,59,2.4,0.408,1.008,0
52,2,12,16,76,7.7,0.995,4.857,0
25,1,3,2,18,16.3,0.352,2.582,1
25,1,5,5,22,10.9,0.403,1.995,0
51,2,27,21,166,11.5,0.821,18.269,0
38,1,21,16,58,16.5,4.584,4.986,0
44,1,9,20,33,5.2,0.546,1.17,0
24,2,2,3,26,9.7,0.888,1.634,1
34,1,5,3,33,7.3,0.778,1.631,0
25,2,6,2,26,4.5,0.07,1.1,0
45,3,5,17,94,10.5,3.612,6.258,1
34,2,4,10,25,5.8,0.57,0.88,0
27,4,2,8,23,5.7,0.32,0.991,1
33,2,10,13,57,20.9,6.111,5.802,1
35,2,0,16,22,15,1.97,1.33,1
50,2,15,31,60,1.1,0.468,0.192,0
33,1,13,13,42,3.6,0.228,1.284,0
41,3,13,13,91,25.2,2.316,20.616,1
28,1,0,2,28,33.3,2.284,7.04,1
38,3,12,14,63,16,5.715,4.365,1
25,1,3,2,16,17.8,1.011,1.837,1
47,2,4,9,33,7.1,1.195,1.148,1
30,2,12,9,98,7.2,2.935,4.121,0
44,2,12,5,86,13,1.476,9.704,0
25,1,0,2,18,18.9,0.514,2.888,1
41,2,6,0,36,19.5,4.514,2.506,1
22,3,0,1,18,7.7,0.478,0.908,0
35,2,3,11,40,17.2,1.803,5.077,1
42,5,6,23,190,7.8,3.157,11.663,0
38,1,3,19,23,14.7,0.832,2.549,0
23,2,1,3,18,18.7,0.885,2.481,1
28,3,2,5,30,19.9,1.522,4.448,0
52,1,19,25,89,4.7,0.397,3.786,0
25,1,9,2,20,3.5,0.105,0.595,0
28,2,1,4,16,14.7,0.574,1.778,0
43,1,19,11,79,7.5,0.782,5.143,0
24,2,3,1,24,19.1,2.173,2.411,0
34,3,13,7,52,9.2,1.497,3.287,0
29,2,6,9,25,4.2,0.585,0.465,0
31,1,6,9,21,8.3,0.729,1.014,0
42,2,14,1,48,8.6,1.201,2.927,1
49,2,11,1,51,15,0.543,7.107,0
39,1,22,9,73,14.3,3.727,6.712,0
45,3,0,19,22,4.2,0.03,0.894,0
41,1,7,22,32,2.9,0.072,0.856,0
29,2,9,0,46,1.6,0.241,0.495,0
35,3,7,5,38,15.1,1.383,4.355,0
27,2,5,6,25,6.8,0.706,0.995,0
28,1,4,7,19,4.1,0.287,0.492,0
48,1,17,22,66,3.2,1.468,0.644,0
24,1,2,5,18,6,0.528,0.552,0
31,1,6,12,33,4.2,0.146,1.24,0
43,1,10,9,69,6.4,0.411,4.005,0
42,1,3,10,24,10.6,0.667,1.877,0
51,2,31,14,249,7.8,4.273,15.149,0
22,1,4,3,19,23.1,1.887,2.502,1
37,1,6,10,31,11.7,1.701,1.926,1
22,3,1,3,25,13.8,1.977,1.473,1
49,2,2,13,20,16.9,0.379,3.001,1
29,1,9,8,30,8.2,0.155,2.305,0
42,1,2,16,30,9.7,1.472,1.438,0
34,1,15,0,67,13.2,3.741,5.103,0
34,2,9,7,27,1.7,0.295,0.164,0
32,2,5,5,43,15,1.806,4.644,1
42,2,18,23,66,9.6,1.641,4.695,0
24,1,3,0,14,16.1,0.838,1.416,1
34,1,16,9,48,7.6,1.474,2.174,0
26,1,10,2,32,4.7,0.126,1.378,0
30,2,12,9,68,20.1,2.857,10.811,0
32,1,4,3,16,28.5,0.894,3.666,1
38,3,13,18,25,5.7,0.343,1.082,0
43,2,10,24,37,8.5,0.676,2.469,0
31,2,9,8,53,13.5,1.195,5.96,0
37,4,10,18,123,17.3,3.022,18.257,0
37,2,4,11,20,21.7,0.174,4.166,1
41,3,12,11,86,26.5,4.991,17.799,1
32,1,0,4,20,3,0.263,0.337,1
22,2,0,1,35,9,0.781,2.369,1
32,2,12,3,63,18.2,5.55,5.916,0
47,2,17,23,41,9.5,0.456,3.439,0
40,1,21,21,46,6.2,0.967,1.885,0
31,1,8,1,22,6.7,0.37,1.104,0
34,3,7,0,27,2.2,0.125,0.469,0
52,4,13,17,234,7.7,7.387,10.631,0
28,1,2,2,17,2.5,0.199,0.226,1
38,3,15,18,63,13.4,5.091,3.351,0
33,2,10,4,26,3.1,0.031,0.775,0
39,2,9,12,32,6.6,1.43,0.682,0
47,3,23,11,115,4,0.653,3.947,0
36,2,11,8,49,1.3,0.273,0.364,0
29,3,7,2,84,13.6,6.912,4.512,1
48,4,14,10,59,16.5,4.936,4.799,1
38,3,12,18,64,5.8,0.895,2.817,0
46,2,9,26,15,4.3,0.015,0.63,0
27,3,5,4,42,19.9,2.708,5.65,1
54,1,18,34,114,8.5,3.295,6.395,0
27,4,0,0,25,12.7,1.419,1.756,1
23,1,1,0,17,1.6,0.012,0.26,0
41,1,23,2,91,13.7,0.573,11.894,0
24,1,3,5,15,11.3,0.073,1.622,1
28,1,9,0,22,27.7,5.283,0.811,1
26,1,0,0,14,10.5,0.256,1.214,0
24,1,8,0,17,5.6,0.569,0.383,1
49,2,22,4,79,7.3,0.288,5.479,0
28,2,3,1,36,8.6,0.384,2.712,0
38,1,6,17,18,13,0.131,2.209,0
33,2,2,9,37,4.5,0.834,0.831,0
26,1,8,4,25,4.7,0.21,0.965,0
36,1,9,1,40,9.8,1.976,1.944,0
37,3,16,14,50,36.6,7.32,10.98,1
25,4,0,1,18,33.4,2.802,3.21,1
29,1,9,2,33,4.8,0.694,0.89,0
